Bit,#,🌟,Episode,Timestamp,Link
First mention of the Anthony Cumia Studio,1,,The Original Cum Boys,2.30m,https://merkle-root.github.io/StreamlineTheCum/?url=http%3A%2F%2Fshoutengine.com%2FCumTown%2FCumTown-0001-ep-1-the-original-cum-boys-19282.mp3&time=150&title=First%20mention%20of%20the%20Anthony%20Cumia%20Studio
Nick eating nothing but apples and sausage on a road trip,1,,The Original Cum Boys,8.45m,https://merkle-root.github.io/StreamlineTheCum/?url=http%3A%2F%2Fshoutengine.com%2FCumTown%2FCumTown-0001-ep-1-the-original-cum-boys-19282.mp3&time=525&title=Nick%20eating%20nothing%20but%20apples%20and%20sausage%20on%20a%20road%20trip
Stav's cousin fucking tourists in Greece,1,,The Original Cum Boys,13m,https://merkle-root.github.io/StreamlineTheCum/?url=http%3A%2F%2Fshoutengine.com%2FCumTown%2FCumTown-0001-ep-1-the-original-cum-boys-19282.mp3&time=780&title=Stav%27s%20cousin%20fucking%20tourists%20in%20Greece
First mention of Ocean City,1,,The Original Cum Boys,15m,https://merkle-root.github.io/StreamlineTheCum/?url=http%3A%2F%2Fshoutengine.com%2FCumTown%2FCumTown-0001-ep-1-the-original-cum-boys-19282.mp3&time=900&title=First%20mention%20of%20Ocean%20City
Cum Town is a no fact checking podcast,1,,The Original Cum Boys,18.10m,https://merkle-root.github.io/StreamlineTheCum/?url=http%3A%2F%2Fshoutengine.com%2FCumTown%2FCumTown-0001-ep-1-the-original-cum-boys-19282.mp3&time=1090&title=Cum%20Town%20is%20a%20no%20fact%20checking%20podcast
Nick's laser pointer/Batman costume for a cat idea,1,,The Original Cum Boys,21m,https://merkle-root.github.io/StreamlineTheCum/?url=http%3A%2F%2Fshoutengine.com%2FCumTown%2FCumTown-0001-ep-1-the-original-cum-boys-19282.mp3&time=1260&title=Nick%27s%20laser%20pointer%2FBatman%20costume%20for%20a%20cat%20idea
Sponsored by beinggay.com,1,,The Original Cum Boys,22.10m,https://merkle-root.github.io/StreamlineTheCum/?url=http%3A%2F%2Fshoutengine.com%2FCumTown%2FCumTown-0001-ep-1-the-original-cum-boys-19282.mp3&time=1330&title=Sponsored%20by%20beinggay.com
Anti-gay PSA break,1,,The Original Cum Boys,22.45m,https://merkle-root.github.io/StreamlineTheCum/?url=http%3A%2F%2Fshoutengine.com%2FCumTown%2FCumTown-0001-ep-1-the-original-cum-boys-19282.mp3&time=1365&title=Anti-gay%20PSA%20break
"Pamela Anderson sex tape, Tommy Lee driving the boat with his dick",1,,The Original Cum Boys,26m,https://merkle-root.github.io/StreamlineTheCum/?url=http%3A%2F%2Fshoutengine.com%2FCumTown%2FCumTown-0001-ep-1-the-original-cum-boys-19282.mp3&time=1560&title=Pamela%20Anderson%20sex%20tape%2C%20Tommy%20Lee%20driving%20the%20boat%20with%20his%20dick
Tom Myerssssss,1,,The Original Cum Boys,27.35m,https://merkle-root.github.io/StreamlineTheCum/?url=http%3A%2F%2Fshoutengine.com%2FCumTown%2FCumTown-0001-ep-1-the-original-cum-boys-19282.mp3&time=1655&title=Tom%20Myerssssss
Eddie Griffin - read ya book!,1,,The Original Cum Boys,31.40m,https://merkle-root.github.io/StreamlineTheCum/?url=http%3A%2F%2Fshoutengine.com%2FCumTown%2FCumTown-0001-ep-1-the-original-cum-boys-19282.mp3&time=1900&title=Eddie%20Griffin%20-%20read%20ya%20book%21
First Irwin and EJ's Landing reference - hypnotist,1,,The Original Cum Boys,36m,https://merkle-root.github.io/StreamlineTheCum/?url=http%3A%2F%2Fshoutengine.com%2FCumTown%2FCumTown-0001-ep-1-the-original-cum-boys-19282.mp3&time=2160&title=First%20Irwin%20and%20EJ%27s%20Landing%20reference%20-%20hypnotist
Stav's first fart attempt,1,,The Original Cum Boys,42m,https://merkle-root.github.io/StreamlineTheCum/?url=http%3A%2F%2Fshoutengine.com%2FCumTown%2FCumTown-0001-ep-1-the-original-cum-boys-19282.mp3&time=2520&title=Stav%27s%20first%20fart%20attempt
